LSMaMatHang,TenMatHang,LSMaNhomNganhHang,DVT,MoTa,SuDung,DonGiaBan,IsSyn,DonGiaVIP,IsVatTu,DonGiaNhap,ThuTu,KeySearch
COM NIEU GA NUONG,COM NIEU GA NUONG,02,VND,,1,60000,1,60000,0,60000,100,COM NIEU GA NUONG;COM NIEU GA NUONG;cngn;com nieu ga nuong
COM RANG BO,COM RANG BO,02,VND,,1,60000,1,60000,0,60000,100,COM RANG BO;COM RANG BO;crb;com rang bo
COM RANG THAP CAM,COM RANG THAP CAM,02,VND,,1,60000,1,60000,0,60000,100,COM RANG THAP CAM;COM RANG THAP CAM;crtc;com rang thap cam
COM RANG TRUNG,COM RANG TRUNG,02,VND,,1,40000,1,40000,0,40000,100,COM RANG TRUNG;COM RANG TRUNG;crt;com rang trung
COM SUON XAO CHUA NGOT,COM SUON XAO CHUA NGOT,02,VND,,1,65000,1,65000,0,65000,100,COM SUON XAO CHUA NGOT;COM SUON XAO CHUA NGOT;csxcn;com suon xao chua ngot
COM THIT KHO TAU,COM THIT KHO TAU,02,VND,,1,60000,1,60000,0,60000,100,COM THIT KHO TAU;COM THIT KHO TAU;ctkt;com thit kho tau
COM THIT LON RIM TIEU,COM THIT LON RIM TIEU,02,VND,,1,59000,1,59000,0,59000,100,COM THIT LON RIM TIEU;COM THIT LON RIM TIEU;ctlrt;com thit lon rim tieu
COM TRUNG DUC THIT,COM TRUNG DUC THIT,02,VND,,1,49000,1,49000,0,49000,100,COM TRUNG DUC THIT;COM TRUNG DUC THIT;ctdt;com trung duc thit
DIA HOA QUA NHO,DIA HOA QUA NHO,03,,,1,45000,1,45000,0,45000,100,DIA HOA QUA NHO;DIA HOA QUA NHO;dhqn;dia hoa qua nho
DIA HOA QUA TO,DIA HOA QUA TO,03,VND,,1,60000,1,60000,0,60000,100,DIA HOA QUA TO;DIA HOA QUA TO;dhqt;dia hoa qua to
DR THANH,DR THANH,03,VND,,1,25000,1,25000,0,25000,100,DR THANH;DR THANH;dt;dr thanh
DỪA TƯƠI,DỪA TƯƠI ,03,VNĐ,,1,35000,1,35000,0,35000,100,DỪA TƯƠI;DỪA TƯƠI ;dt;dua tuoi
ÉP DỨA,EP DUA,03,vnd,,1,55000,1,55000,0,55000,100,ÉP DỨA;EP DUA;ed;ep dua
EP OI,EP OI,03,VND,,1,55000,1,55000,0,55000,100,EP OI;EP OI;eo;ep oi
GẬY CARBON,GẬY CARBON,03,VND,,1,50000,1,50000,0,50000,100,GẬY CARBON;GẬY CARBON;gc;gay carbon
GAY THUE,GAY THUE,02,VND,,1,30000,1,30000,0,30000,100,GAY THUE;GAY THUE;gt;gay thue
HỒNG TRÀ BAC HÀ,HỒNG TRÀ BẠC HÀ,03,VND,,1,35000,1,35000,0,35000,100,HỒNG TRÀ BAC HÀ;HỒNG TRÀ BẠC HÀ;htbh;hong tra bac ha
HỒNG TRÀ DÂU,HỒNG TRÀ DÂU,03,VND,,1,35000,1,35000,0,35000,100,HỒNG TRÀ DÂU;HỒNG TRÀ DÂU;htd;hong tra dau
HỒNG TRÀ SÔ CO LA,HỒNG TRÀ SO CO LA,03,VND,,1,35000,1,35000,0,35000,100,HỒNG TRÀ SÔ CO LA;HỒNG TRÀ SO CO LA;htscl;hong tra so co la
HỒNG TRÀ SỦI BỌT,HỒNG TRÀ SB BẠC HÀ,03,VND,,1,25000,1,25000,0,25000,100,HỒNG TRÀ SỦI BỌT;HỒNG TRÀ SB BẠC HÀ;htsbh;hong tra sb bac ha
HỒNG TRÀ SỦI BỌT DÂU,HỒNG TRÀ SB DÂU,03,VND,,1,25000,1,25000,0,25000,100,HỒNG TRÀ SỦI BỌT DÂU;HỒNG TRÀ SB DÂU;htsd;hong tra sb dau
HỒNG TRÀ SỦI BỌT TH,HỒNG TRÀ SỦI BỌT,03,VND,,1,20000,1,20000,0,20000,100,HỒNG TRÀ SỦI BỌT TH;HỒNG TRÀ SỦI BỌT;htsb;hong tra sui bot
KENT,KENT,03,VND,,1,40000,1,40000,0,40000,100,KENT;KENT;k;kent
KHAN LANH,KHAN LANH,02,VND,,1,3000,1,3000,0,3000,100,KHAN LANH;KHAN LANH;kl;khan lanh
KHO GA,KHO GA LA CHANH,03,VND,,1,40000,1,40000,0,40000,100,KHO GA;KHO GA LA CHANH;kglc;kho ga la chanh
KHÓA HỌC CƠ BẢN,KHÓA HỌC,02,VND,,1,4500000,1,4500000,0,4500000,100,KHÓA HỌC CƠ BẢN;KHÓA HỌC;kh;khoa hoc
KHOAI HOP,KHOAI HOP,03,VND,,1,35000,1,35000,0,35000,100,KHOAI HOP;KHOAI HOP;kh;khoai hop
